Text,Sentiment,Text_Clean,Text_Stemmed,Text_Lemmatized
 Enjoying a beautiful day at the park!              , Positive  ,enjoying beautiful day park,enjoy beauti day park,enjoy beautiful day park
 Traffic was terrible this morning.                 , Negative  ,traffic terrible morning,traffic terribl morn,traffic terrible morning
 Just finished an amazing workout! 💪               , Positive  ,finished amazing workout 💪,finish amaz workout 💪,finish amaze workout 💪
 Excited about the upcoming weekend getaway!        , Positive  ,excited upcoming weekend getaway,excit upcom weekend getaway,excited upcoming weekend getaway
 Trying out a new recipe for dinner tonight.        , Neutral   ,trying new recipe dinner tonight,tri new recip dinner tonight,try new recipe dinner tonight
 Feeling grateful for the little things in life.    , Positive  ,feeling grateful little things life,feel grate littl thing life,feel grateful little thing life
 Rainy days call for cozy blankets and hot cocoa.   , Positive  ,rainy days call cozy blankets hot cocoa,raini day call cozi blanket hot cocoa,rainy day call cozy blanket hot cocoa
 The new movie release is a must-watch!             , Positive  ,new movie release must watch,new movi releas must watch,new movie release must watch
 Political discussions heating up on the timeline.  , Negative  ,political discussions heating timeline,polit discuss heat timelin,political discussion heat timeline
 Missing summer vibes and beach days.               , Neutral   ,missing summer vibes beach days,miss summer vibe beach day,miss summer vibe beach day
 Just published a new blog post. Check it out!      , Positive  ,published new blog post check,publish new blog post check,publish new blog post check
 Feeling a bit under the weather today.             , Negative  ,feeling bit weather today,feel bit weather today,feel bit weather today
 Exploring the city's hidden gems.                  , Positive  ,exploring city hidden gems,explor citi hidden gem,explore city hidden gem
" New year, new fitness goals! 💪                    ", Positive  ,new year new fitness goals 💪,new year new fit goal 💪,new year new fitness goal 💪
 Technology is changing the way we live.            , Neutral   ,technology changing way live,technolog chang way live,technology change way live
 Reflecting on the past and looking ahead.          , Positive  ,reflecting past looking ahead,reflect past look ahead,reflect past look ahead
 Just adopted a cute furry friend! 🐾              , Positive  ,adopted cute furry friend 🐾,adopt cute furri friend 🐾,adopt cute furry friend 🐾
 Late-night gaming session with friends.            , Positive  ,late night gaming session friends,late night game session friend,late night game session friend
 Attending a virtual conference on AI.              , Neutral   ,attending virtual conference ai,attend virtual confer ai,attend virtual conference ai
 Winter blues got me feeling low.                   , Negative  ,winter blues got feeling low,winter blue got feel low,winter blue get feel low
 Sipping coffee and enjoying a good book.           , Positive  ,sipping coffee enjoying good book,sip coffe enjoy good book,sip coffee enjoy good book
 Exploring the world of virtual reality.            , Positive  ,exploring world virtual reality,explor world virtual realiti,explore world virtual reality
 Productive day ticking off my to-do list.          , Positive  ,productive day ticking list,product day tick list,productive day tick list
 Just finished a challenging workout routine.       , Positive  ,finished challenging workout routine,finish challeng workout routin,finish challenge workout routine
 Celebrating a milestone at work! 🎉               , Positive  ,celebrating milestone work 🎉,celebr mileston work 🎉,celebrate milestone work 🎉
 Sunday brunch with friends.                        , Positive  ,sunday brunch friends,sunday brunch friend,sunday brunch friend
 Learning a new language for personal growth.       , Positive  ,learning new language personal growth,learn new languag person growth,learn new language personal growth
 Quiet evening with a good book.                    , Positive  ,quiet evening good book,quiet even good book,quiet even good book
 Reflecting on the importance of mental health.     , Positive  ,reflecting importance mental health,reflect import mental health,reflect importance mental health
 New painting in progress! 🎨                       , Positive  ,new painting progress 🎨,new paint progress 🎨,new paint progress 🎨
 Weekend road trip to explore scenic views.         , Positive  ,weekend road trip explore scenic views,weekend road trip explor scenic view,weekend road trip explore scenic view
 Enjoying a cup of tea and watching the sunset.     , Positive  ,enjoying cup tea watching sunset,enjoy cup tea watch sunset,enjoy cup tea watch sunset
 Coding a new project with enthusiasm.              , Positive  ,coding new project enthusiasm,code new project enthusiasm,cod new project enthusiasm
 Feeling inspired after attending a workshop.       , Positive  ,feeling inspired attending workshop,feel inspir attend workshop,feel inspire attend workshop
 Winter sports day at the local park.               , Positive  ,winter sports day local park,winter sport day local park,winter sport day local park
 Quality time with family this weekend.             , Positive  ,quality time family weekend,qualiti time famili weekend,quality time family weekend
 Attending a live music concert tonight.            , Positive  ,attending live music concert tonight,attend live music concert tonight,attend live music concert tonight
 Practicing mindfulness with meditation.            , Positive  ,practicing mindfulness meditation,practic mind medit,practice mindfulness meditation
 Trying out a new dessert recipe.                   , Positive  ,trying new dessert recipe,tri new dessert recip,try new dessert recipe
 Excited about the upcoming gaming tournament.      , Positive  ,excited upcoming gaming tournament,excit upcom game tournament,excited upcoming gaming tournament
 Planning a garden makeover for spring.             , Positive  ,planning garden makeover spring,plan garden makeov spring,plan garden makeover spring
 Celebrating a friend's birthday tonight! 🎂       , Positive  ,celebrating friend birthday tonight 🎉,celebr friend birthday tonight 🎉,celebrate friend birthday tonight 🎉
 Feeling accomplished after a productive day.       , Positive  ,feeling accomplished productive day,feel accomplish product day,feel accomplished productive day
 A cozy evening with a good movie.                 , Positive  ,cozy evening good movie,cozi even good movi,cozy even good movie
 Exploring local art galleries this weekend.        , Positive  ,exploring local art galleries weekend,explor local art galleri weekend,explore local art gallery weekend
 New book release from my favorite author!          , Positive  ,new book release favorite author,new book releas favorit author,new book release favorite author
 Attending a virtual reality meetup.                , Positive  ,attending virtual reality meetup,attend virtual realiti meetup,attend virtual reality meetup
 Reflecting on the beauty of nature.                , Positive  ,reflecting beauty nature,reflect beauti natur,reflect beauty nature
 Cooking a special dinner for loved ones.           , Positive  ,cooking special dinner loved ones,cook special dinner love one,cook special dinner love one
 Feeling optimistic about the week ahead.           , Positive  ,feeling optimistic week ahead,feel optimist week ahead,feel optimistic week ahead
 Starting a new fitness challenge tomorrow! 💪     , Positive  ,starting new fitness challenge tomorrow 💪,start new fit challeng tomorrow 💪,start new fitness challenge tomorrow 💪
 Sunday bike ride through scenic trails.           , Positive  ,sunday bike ride scenic trails,sunday bike ride scenic trail,sunday bike ride scenic trail
 Can't believe the injustice happening in our society., Anger        ,believe injustice happening society,believ injustic happen societi,believe injustice happen society
 Feeling a sense of fear after watching a thriller movie. , Fear         ,feeling sense fear watching thriller movie,feel sens fear watch thriller movi,feel sense fear watch thriller movie
 Heartbroken after hearing the news about a natural disaster. , Sadness      ,heartbroken hearing news natural disaster,heartbroken hear news natur disast,heartbroken hear news natural disaster
 The state of the world's environment is just disgusting. , Disgust      ,state world environment disgusting,state world environ disgust,state world environment disgust
 Pure happiness: celebrating a loved one's achievement! , Happiness    ,pure happiness celebrating loved one achievement,pure happi celebr love one achiev,pure happiness celebrate love one achievement
 Laughter is the best medicine—enjoying a comedy show. , Joy          ,laughter best medicine—enjoying comedy show,laughter best medicine—enjoy comedi show,laughter best medicine—enjoying comedy show
 Sharing love and positive vibes with everyone! ❤️      , Love         ,sharing love positive vibes everyone 💜️,share love posit vibe everyon 💜️,share love positive vibe everyone 💜️
 An amusing incident brightened up my day!               , Amusement    ,amusing incident brightened day,amus incid brighten day,amuse incident brighten day
 Enjoying a quiet evening with a book and some tea.      , Enjoyment    ,enjoying quiet evening book tea,enjoy quiet even book tea,enjoy quiet even book tea
 Admiring the beauty of nature during a peaceful hike.   , Admiration   ,admiring beauty nature peaceful hike,admir beauti natur peac hike,admire beauty nature peaceful hike
 Sending affectionate vibes to all my followers!          , Affection    ,sending affectionate vibes followers,send affection vibe follow,send affectionate vibe follower
 Experiencing awe at the breathtaking sunset.            , Awe          ,experiencing awe breathtaking sunset,experienc awe breathtak sunset,experience awe breathtaking sunset
 Disappointed with the service at a local restaurant.    , Disappointed ,disappointed service local restaurant,disappoint servic local restaur,disappointed service local restaurant
 A surprise gift from a friend made my day!              , Surprise     ,surprise gift friend made day,surpris gift friend made day,surprise gift friend make day
 Finding acceptance in the midst of life's challenges.   , Acceptance   ,finding acceptance midst life challenges,find accept midst life challeng,find acceptance midst life challenge
 Overflowing with adoration for my adorable pet! 🐾      , Adoration    ,overflowing adoration adorable pet 🐾,overflow ador ador pet 🐾,overflow adoration adorable pet 🐾
 Anticipating a thrilling adventure in the coming weeks. , Anticipation ,anticipating thrilling adventure coming weeks,anticip thrill adventur come week,anticipate thrill adventure come week
 A bitter experience turned into a valuable lesson.      , Bitter       ,bitter experience turned valuable lesson,bitter experi turn valuabl lesson,bitter experience turn valuable lesson
 Finding calmness in the midst of a busy day.            , Calmness     ,finding calmness midst busy day,find calm midst busi day,find calmness midst busy day
 Confusion clouds my mind as I navigate through decisions., Confusion    ,confusion clouds mind navigate decisions,confus cloud mind navig decis,confusion cloud mind navigate decision
 Excitement building up for the upcoming vacation!       , Excitement   ,excitement building upcoming vacation,excit build upcom vacat,excitement build upcoming vacation
 Kindness witnessed today restored my faith in humanity. , Kind         ,kindness witnessed today restored faith humanity,kind wit today restor faith human,kindness witness today restore faith humanity
 Pride in achieving a personal milestone.               , Pride        ,pride achieving personal milestone,pride achiev person mileston,pride achieve personal milestone
 A moment of shame for not standing up against injustice. , Shame        ,moment shame standing injustice,moment shame stand injustic,moment shame stand injustice
 Fuming with anger after a heated argument.            , Anger        ,fuming anger heated argument,fume anger heat argument,fume anger heat argument
 The fear of the unknown is keeping me up at night.    , Fear         ,fear unknown keeping night,fear unknown keep night,fear unknown keep night
 Heartfelt sadness after bidding farewell to a dear friend. , Sadness      ,heartfelt sadness bidding farewell dear friend,heartfelt sad bid farewel dear friend,heartfelt sadness bidding farewell dear friend
 The state of corruption in our society is utterly disgusting. , Disgust      ,state corruption society utterly disgusting,state corrupt societi utter disgust,state corruption society utterly disgust
 Overflowing happiness: welcoming a new family member!  , Happiness    ,overflowing happiness welcoming new family member,overflow happi welcom new famili member,overflow happiness welcome new family member
 Laughter is the key to joy—attending a stand-up comedy show. , Joy          ,laughter key joy—attending stand comedy show,laughter key joy—attend stand comedi show,laughter key joy—attending stand comedy show
 Sending love to all my followers on this beautiful day! ❤️ , Love         ,sending love followers beautiful day 💜️,send love follow beauti day 💜️,send love follower beautiful day 💜️
 Amused by the antics of my pet—it's pure amusement!      , Amusement    ,amused antics pet—it pure amusement,amus antic pet—it pure amus,amuse antic pet—it pure amusement
 Enjoying every moment of this trip—pure enjoyment!      , Enjoyment    ,enjoying every moment trip—pure enjoyment,enjoy everi moment trip—pur enjoy,enjoy every moment trip—pure enjoyment
 Admiring the dedication of volunteers at a local charity. , Admiration   ,admiring dedication volunteers local charity,admir dedic volunt local chariti,admire dedication volunteer local charity
 Sending affectionate vibes to friends and family.        , Affection    ,sending affectionate vibes friends family,send affection vibe friend famili,send affectionate vibe friend family
 Awe-struck by the beauty of the night sky.               , Awe          ,awe struck beauty night sky,awe struck beauti night sky,awe strike beauty night sky
 Disappointed with the lack of progress in a personal project. , Disappointed ,disappointed lack progress personal project,disappoint lack progress person project,disappointed lack progress personal project
 A surprise visit from an old friend brought tears of joy. , Surprise     ,surprise visit old friend brought tears joy,surpris visit old friend brought tear joy,surprise visit old friend bring tear joy
 Embracing acceptance of life's ups and downs.           , Acceptance   ,embracing acceptance life ups downs,embrac accept life up down,embrace acceptance life ups down
 Overflowing adoration for a cute rescue puppy! 🐶       , Adoration    ,overflowing adoration cute rescue puppy animal,overflow ador cute rescu puppi anim,overflow adoration cute rescue puppy animal
 Anticipating the release of a much-awaited movie.       , Anticipation ,anticipating release much awaited movie,anticip releas much await movi,anticipate release much await movie
 Bitter experience at the customer service department.   , Bitter       ,bitter experience customer service department,bitter experi custom servic depart,bitter experience customer service department
 Finding calmness amidst the chaos of daily life.        , Calmness     ,finding calmness amidst chaos daily life,find calm amidst chao daili life,find calmness amidst chaos daily life
 Confusion reigns as I try to make sense of recent events., Confusion    ,confusion reigns try make sense recent events,confus reign tri make sens recent event,confusion reign try make sense recent event
 Excitement building up for a surprise birthday party.   , Excitement   ,excitement building surprise birthday party,excit build surpris birthday parti,excitement build surprise birthday party
 Witnessed an act of kindness that made my day.          , Kind         ,witnessed act kindness made day,wit act kind made day,witness act kindness make day
 Pride in completing a challenging fitness challenge.    , Pride        ,pride completing challenging fitness challenge,pride complet challeng fit challeng,pride complete challenge fitness challenge
 A moment of shame for not speaking up against injustice., Shame        ,moment shame speaking injustice,moment shame speak injustic,moment shame speaking injustice
 Reflecting on the beauty of diversity in our world.     , Acceptance   ,reflecting beauty diversity world,reflect beauti divers world,reflect beauty diversity world
 Excitement for a quiet evening with a good book.        , Excitement   ,excitement quiet evening good book,excit quiet even good book,excitement quiet even good book
 Feeling bitter about the unfairness in the workplace.   , Bitter       ,feeling bitter unfairness workplace,feel bitter unfair workplac,feel bitter unfairness workplace
 Calmness prevails as I practice mindfulness.            , Calmness     ,calmness prevails practice mindfulness,calm prevail practic mind,calmness prevail practice mindfulness
 Confusion surrounds me as I navigate through life's choices. , Confusion ,confusion surrounds navigate life choices,confus surround navig life choic,confusion surround navigate life choice
 Excitement for a weekend road trip to explore new places. , Excitement ,excitement weekend road trip explore new places,excit weekend road trip explor new place,excitement weekend road trip explore new place
 Kindness witnessed today restores my faith in humanity.  , Kind         ,kindness witnessed today restores faith humanity,kind wit today restor faith human,kindness witness today restores faith humanity
 Pride in accomplishing personal and professional goals.  , Pride        ,pride accomplishing personal professional goals,pride accomplish person profession goal,pride accomplish personal professional goal
 Shame for not being true to my values in a difficult situation., Shame ,shame true values difficult situation,shame true valu difficult situat,shame true value difficult situation
" Revisiting old memories, feeling a sense of elation. ", Elation       ,revisiting old memories feeling sense elation,revisit old memori feel sens elat,revisit old memory feel sense elation
 The victory of our team brought euphoria to the city. , Euphoria      ,victory team brought euphoria city,victori team brought euphoria citi,victory team bring euphoria city
" Embracing the beauty of nature, a moment of contentment. ", Contentment   ,embracing beauty nature moment contentment,embrac beauti natur moment content,embrace beauty nature moment contentment
" Meditating by the serene lake, finding inner peace.   ", Serenity      ,meditating serene lake finding inner peace,medit seren lake find inner peac,meditate serene lake find inner peace
 Overflowing with gratitude for life's blessings.      , Gratitude     ,overflowing gratitude life blessings,overflow gratitud life bless,overflow gratitude life blessing
" Hopeful for a brighter tomorrow, despite challenges.  ", Hope          ,hopeful brighter tomorrow despite challenges,hope brighter tomorrow despit challeng,hopeful brighter tomorrow despite challenge
 Empowered to make a difference in my community.        , Empowerment   ,empowered make difference community,empow make differ communiti,empowered make difference community
 Compassion in action: supporting a local charity event. , Compassion    ,compassion action supporting local charity event,compass action support local chariti event,compassion action support local charity event
" A moment of tenderness, connecting with loved ones.    ", Tenderness    ,moment tenderness connecting loved ones,moment tender connect love one,moment tenderness connect love one
 Arousal of excitement as I await a special announcement., Arousal       ,arousal excitement await special announcement,arous excit await special announc,arousal excitement await special announcement
 Enthusiastically diving into a new project.            , Enthusiasm    ,enthusiastically diving new project,enthusiast dive new project,enthusiastically dive new project
 Feeling a sense of fulfillment after reaching a milestone., Fulfillment  ,feeling sense fulfillment reaching milestone,feel sens fulfil reach mileston,feel sense fulfillment reach milestone
 Reverence for the beauty of a historic landmark.       , Reverence     ,reverence beauty historic landmark,rever beauti histor landmark,reverence beauty historic landmark
 Elation after a surprise reunion with old friends.    , Elation       ,elation surprise reunion old friends,elat surpris reunion old friend,elation surprise reunion old friend
 The euphoria of a live music concert under the stars.  , Euphoria      ,euphoria live music concert stars,euphoria live music concert star,euphoria live music concert star
 Contentment in the simplicity of a quiet Sunday.       , Contentment   ,contentment simplicity quiet sunday,content simplic quiet sunday,contentment simplicity quiet sunday
 Serenity found in the pages of a favorite book.        , Serenity      ,serenity found pages favorite book,seren found page favorit book,serenity find page favorite book
 Gratitude for the support received during tough times. , Gratitude     ,gratitude support received tough times,gratitud support receiv tough time,gratitude support receive tough time
 Hopeful about the possibilities of a new journey.      , Hope          ,hopeful possibilities new journey,hope possibl new journey,hopeful possibility new journey
 Empowerment through learning and personal growth.      , Empowerment   ,empowerment learning personal growth,empower learn person growth,empowerment learn personal growth
 Compassion towards those in need during the holidays.  , Compassion    ,compassion towards need holidays,compass toward need holiday,compassion towards need holiday
 Tenderness in the warmth of a cozy winter evening.     , Tenderness    ,tenderness warmth cozy winter evening,tender warmth cozi winter even,tenderness warmth cozy winter evening
 Arousal of excitement for an upcoming adventure.       , Arousal       ,arousal excitement upcoming adventure,arous excit upcom adventur,arousal excitement upcoming adventure
 Enthusiasm for a creative project in the making.       , Enthusiasm    ,enthusiasm creative project making,enthusiasm creativ project make,enthusiasm creative project make
 Fulfillment in completing a challenging workout routine., Fulfillment  ,fulfillment completing challenging workout routine,fulfil complet challeng workout routin,fulfillment complete challenge workout routine
 Reverence for the artistry displayed in a museum.      , Reverence     ,reverence artistry displayed museum,rever artistri display museum,reverence artistry display museum
 Elation after achieving a personal goal.               , Elation       ,elation achieving personal goal,elat achiev person goal,elation achieve personal goal
 Elation over discovering a hidden gem in the city.   , Elation       ,elation discovering hidden gem city,elat discov hidden gem citi,elation discover hidden gem city
 The euphoria of a surprise birthday celebration.     , Euphoria      ,euphoria surprise birthday celebration,euphoria surpris birthday celebr,euphoria surprise birthday celebration
 Contentment in the simplicity of a home-cooked meal. , Contentment   ,contentment simplicity home cooked meal,content simplic home cook meal,contentment simplicity home cook meal
 Serenity found in the melody of a peaceful piano.    , Serenity      ,serenity found melody peaceful piano,seren found melodi peac piano,serenity find melody peaceful piano
 Gratitude for the supportive community around me.    , Gratitude     ,gratitude supportive community around,gratitud support communiti around,gratitude supportive community around
 Hopeful about the prospects of a new business venture., Hope          ,hopeful prospects new business venture,hope prospect new busi ventur,hopeful prospect new business venture
 Empowerment through mentoring and guiding others.    , Empowerment   ,empowerment mentoring guiding others,empower mentor guid other,empowerment mentor guide others
 Compassion shown through acts of kindness in the community., Compassion,compassion shown acts kindness community,compass shown act kind communiti,compassion show act kindness community
 Tenderness in a heartfelt message to a loved one.    , Tenderness    ,tenderness heartfelt message loved one,tender heartfelt messag love one,tenderness heartfelt message love one
 Arousal of excitement before a much-awaited trip.    , Arousal       ,arousal excitement much awaited trip,arous excit much await trip,arousal excitement much await trip
 Enthusiasm for a new artistic project in the works.  , Enthusiasm    ,enthusiasm new artistic project works,enthusiasm new artist project work,enthusiasm new artistic project work
 Feeling a sense of fulfillment after helping others. , Fulfillment   ,feeling sense fulfillment helping others,feel sens fulfil help other,feel sense fulfillment help others
 Reverence for the historical significance of a landmark., Reverence ,reverence historical significance landmark,rever histor signific landmark,reverence historical significance landmark
 Elation after achieving a fitness milestone.         , Elation       ,elation achieving fitness milestone,elat achiev fit mileston,elation achieve fitness milestone
 The euphoria of a successful product launch.         , Euphoria      ,euphoria successful product launch,euphoria success product launch,euphoria successful product launch
 Contentment in the embrace of a loved one.           , Contentment   ,contentment embrace loved one,content embrac love one,contentment embrace love one
 Serenity found in the beauty of a sunset by the sea.  , Serenity      ,serenity found beauty sunset sea,seren found beauti sunset sea,serenity find beauty sunset sea
 Gratitude for the small joys that each day brings.   , Gratitude     ,gratitude small joys day brings,gratitud small joy day bring,gratitude small joy day brings
 Hopeful about the potential for personal growth.      , Hope          ,hopeful potential personal growth,hope potenti person growth,hopeful potential personal growth
 Empowerment through learning a new skill.            , Empowerment   ,empowerment learning new skill,empower learn new skill,empowerment learn new skill
 Compassion in volunteering for a local charity.       , Compassion    ,compassion volunteering local charity,compass volunt local chariti,compassion volunteer local charity
 Tenderness in a quiet moment shared with a pet.      , Tenderness    ,tenderness quiet moment shared pet,tender quiet moment share pet,tenderness quiet moment share pet
 Arousal of excitement for an upcoming festival.       , Arousal       ,arousal excitement upcoming festival,arous excit upcom festiv,arousal excitement upcoming festival
 Enthusiasm for a DIY home improvement project.       , Enthusiasm    ,enthusiasm diy home improvement project,enthusiasm diy home improv project,enthusiasm diy home improvement project
 Fulfillment in completing a challenging puzzle.      , Fulfillment   ,fulfillment completing challenging puzzle,fulfil complet challeng puzzl,fulfillment complete challenge puzzle
 Reverence for the wonders of nature on a hiking trail., Reverence ,reverence wonders nature hiking trail,rever wonder natur hike trail,reverence wonder nature hike trail
 Elation after a surprise reunion with a childhood friend., Elation   ,elation surprise reunion childhood friend,elat surpris reunion childhood friend,elation surprise reunion childhood friend
 Suffering from despair after another setback.      , Despair         ,suffering despair another setback,suffer despair anoth setback,suffer despair another setback
" Overwhelmed by grief, missing a loved one dearly.  ", Grief           ,overwhelmed grief missing loved one dearly,overwhelm grief miss love one dear,overwhelmed grief miss love one dearly
 Loneliness creeps in as the night grows colder.    , Loneliness      ,loneliness creeps night grows colder,loneli creep night grow colder,loneliness creep night grows colder
 Jealousy consumes me as I witness others' success. , Jealousy        ,jealousy consumes witness others success,jealousi consum wit other success,jealousy consumes witness others success
 Resentment building up over past betrayals.        , Resentment      ,resentment building past betrayals,resent build past betray,resentment building past betrayal
 Frustration mounts as obstacles block my path.     , Frustration     ,frustration mounts obstacles block path,frustrat mount obstacl block path,frustration mount obstacles block path
" Boredom sets in, the day feels endlessly dull.     ", Boredom         ,boredom sets day feels endlessly dull,boredom set day feel endless dull,boredom set day feel endlessly dull
